Input;Output
Previously reported experiments show that the drugs quickly dissolve the blood clot that initially blocked one of the heart's vital coronary arteries causing the heart attack.;[]
Companies still spend billions of dollars printing and storing forms—and destroying them when, say, an address changes.;[]
If the area were flooded, these mud-embedded bombs might loosen and float to the surface.;[]
Even if the commission could fix the process, it still wouldn't have solved the fundamental budget problem.;[]
"""If we do, I'm confident that the scientists at Genentech can fix it.""";[]
At the moment, Japan's short-term prime lending rate is fixed to the official discount rate, the interest rate at which the central Bank of Japan lends to commercial banks.;[]
The company didn't fix the problems fast enough.;[]
Brokerage rates are fixed by the finance ministry, so discount brokerage isn't possible, unlike London where the fixed commissions were abolished in 1986.;[]
Because exchange rates were securely fixed, the strength of international arbitrage in markets for tradable goods was remarkable.;[]
The two cases also underscore a peculiarity of the airline business, and possibly a dangerous one: When a design feature is called into question, the remedy usually isn't to recall and fix the plane but to let airlines rely on increased checking and maintenance if they choose.;[]
Bush and Dukakis should be asked to clarify where they stand on this important distinction, for it's clear that the real work of fixing the schools will fall to local politicians and school boards.;[]
All eyes are fixed on 18 television sets showing the changing of the guard at Buckingham Palace.;[]
"The study does have several major assumptions—the biggest being that Medicare expenditures are fixed; the figures reflect a simple shift of money from one doctor's pocket to another.";[]
The consulting firm of Data Resources Inc. expects business fixed investment this year to top the 1987 outlays by 11.1%.;[]
But Mr. Sherlund said he thinks the company has taken steps to fix that problem.;[]
Shawmut National Chairman John LaWare has emerged as the leading candidate to fill the vacant seat on the Federal Reserve Board.;[]
The six central-bank governors appointed by President Reagan are, for the most part, strong-minded individuals pursuing differing theories about how the economy works. John LaWare, the chairman of Shawmut National Corp., has emerged as the leading candidate to fill the remaining seat on the Reserve Board.;[]
Law enforcement officials said Attorney General Edwin Meese recently talked with Mr. Christensen about filling the post of deputy attorney general, and Mr. Christensen yesterday put out a statement confirming that the White House is considering him for the post.;[]
A. Gary Ames, president and chief executive officer of U S West Inc.'s Mountain Bell unit, was named a director of this supermarket operator, filling a vacancy on the 13-member board.;[]
Not only are youth and older people working together, but there are advertisements for employees to fill vacancies at wages well above the minimum wage.;[]
May's load factor, or the percentage of seats filled, rose to 59.29% from 55.31% a year earlier.;[]
The appointments, filling vacant posts, are the first since the company's top officers resigned at the end of May.;[]
"After the seven main tranches are filled, a little money usually remains—the ""residual tranch.""";[]
Mr. Myhren of American Television said the industry research lab will also examine more efficient ways to scramble satellite-delivered television programs to avoid theft, and other security issues.;[]
Right now, profit earned from gold is tax-free in Australia, allowing Reynolds to escape the normal 40% corporate tax rate.;[]
But there has been no escaping the drought that has tormented the Midwest this summer.;[]
At the scene of the crash, survivors said they were able to escape the plane by crawling out at a split in the fuselage and by going through an emergency exit over the wing.;[]
If yesterday's accident was linked to any internal weakness at Delta, the problem escaped the notice of an exhaustive internal investigation last year to see whether any of the mishaps were connected.;[]
They want the magic pill so they can continue eating pizza, ice cream, and whatever junk they want.;[]
These waters are full of the fish, mollusks, and small crustaceans that lobsters like to eat.;[]
He insists that Ashley's death was an accident caused by the child tipping over a trash can and eating discarded pills.;[]
They eat lighter, smaller portions.;[]
We believe that once people start drinking hard liquor in low concentrations, they may go on to higher concentrations.;[]
"In 1979 the federal government absorbed 20.5% of our gross national product; by 1986 that had increased to 23.8%.";[]
On the narrow issue at hand, several European nations would like NATO simply to absorb the cost of relocating the F-16s by using a special joint infrastructure fund, designed to finance $11 billion of NATO construction projects between 1985 and 1990.;[]
In the filing made Wednesday, the company proposed to absorb 25% of its obligations, which resulted in the charge.;[]
"As Eliot wrote: ""In a warm haze, the sultry light is absorbed, not refracted, by grey stone..."" and flowers do indeed ""sleep in empty silence.""";[]
According to one theory, the market was still trying to absorb the two large computer-generated sell programs that passed through the market Wednesday.;[]
The market is absorbing all of the mill's output of supercalender paper, Mr. Nugent said.;[]
Two years later a planning group examined the town's economic future, leading to the incorporation of the Greencastle Development Center in September 1986.;[]
West Fed will absorb 20% of the first $35 million of losses on the sale of those assets.;[]
Prime Computer Inc., as expected, reported a sharp earnings decline because of a write-off and costs related to absorbing an acquisition during its second quarter ended July 4.;[]
The Lloyd's market will absorb roughly half the estimated $1.4 billion in losses from the Piper Alpha disaster, he said.;[]
Brokers said the new 10-year bond to be floated by the Bonn government will be absorbed only slowly by the market.;[]
Mr. Iacocca said at the annual meeting that other factors also are hurting second-quarter profit, including additional research-and-development spending, the recently negotiated new contract with the United Auto Workers union and the cost of absorbing American Motors Corp., which Chrysler acquired last year.;[]
The new superconductors, discovered last year, conduct electricity without resistance when cooled with liquid nitrogen.;[]
In Central Asia, the Kremlin destroyed four nuclear missiles as part of the superpower treaty eliminating intermediate-range weapons.;[]
The Soviet accident came on the heels of a similar catastrophe in the U.S. Earlier this month, a plant operated by Pacific Engineering & Production Co. of Henderson, Nev., was destroyed by a string of explosions.;[]
Merrill used its financial clout to absorb losses as it cut margins and traded big positions, soon grabbing an estimated 20% market share and luring major British institutional clients.;[]
Leaders of the seven major industrial democracies kicked off their 14th annual economic summit by agreeing broadly that the world economy is in good shape, and that their own willingness to coordinate economic policies was one of the reasons.;[]
"Mr. Thunberg of Ried Thunberg said the Fed has ""aggressively"" absorbed reserves over each of the past three days, creating some confusion about its intentions.";[]
Equity capital is the clearest picture of a bank's net worth and its ability to absorb additional losses.;[]
USA Today, in only its fifth week on the air, has been besieged by lackluster ratings, savage reviews, rumors—fed by competitors—that the show will be canceled, and a spate of new rival programs aimed at replacing it.;[]
The park has been besieged for nearly three months by dry weather and fires that have charred more than half its 2.2 million acres.;[]
Though besieged by friends who want me to pick them a winner, he doesn’t bet often.;[]
Ever since, Banner has been besieged by hundreds of thrill-seeking callers.;[]
A Congress besieged by special interests passed Smoot-Hawley, and a Republican President too sensitive to business interests signed it.;[]
The U.S. armed forces are being besieged these days—not by foreign military aggressors—but by aggressive consumer-product marketers.;[]
You have to build up the equipment to a certain power level, test it, cool it down, then possibly repair it, and it may take months to bring it up again.;[]
Heavy water is used to control and cool the reaction of small research reactors.;[]
Engineers in uniforms and hardhats are everywhere, many maintaining the technological heart of the levitating train: its roadbed of specially cooled superconducting magnets.;[]
Mr. Bilirakis's letter referred to the March 2 death of Airman Recruit Lee Mirecki, 19 years old, of Appleton, Wis., who drowned during an elite rescue swimmer training program at the Pensacola, Fla., Naval Air Station.;[]
Consider two Louisiana cases: Maintenance worker Joe Dennis Jackson drowned while swimming at an employer-sponsored party.;[]
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
